Feature_1,Feature_2,Label
0.7525163,0.24640162,0
0.8796443,0.5659644,0
0.16178547,0.282946,0
0.6856021,0.48696277,1
0.46403596,0.3216482,1
0.1178743,0.58960134,0
0.1857305,0.44025156,0
0.4812191,0.30028468,1
0.36732993,0.3522933,1
0.72024965,0.58348763,1
0.2387723,0.714602,0
0.5931917,0.6842202,1
0.53254986,0.7157782,1
0.64539444,0.14802122,0
0.2954077,0.18421473,0
0.5152394,0.6824959,1
0.91083854,0.3934454,0
0.30163348,0.80006456,0
0.38343284,0.45925918,1
0.41999412,0.36300853,1
0.68689865,0.4267648,1
0.6512204,0.5728231,1
0.6621109,0.6269611,1
0.8095712,0.42545253,0
0.33542052,0.4922376,1
0.62576073,0.3376444,1
0.7285309,0.5078731,1
0.6585738,0.1549231,0
0.46454287,0.3518932,1
0.8979503,0.34498757,0
0.6227427,0.25989142,1
0.84065306,0.66933227,0
0.2796782,0.8092153,0
0.73308325,0.48024228,1
0.5406037,0.07101664,0
0.41281134,0.33386758,1
0.83824605,0.6024161,0
0.80444556,0.64959466,0
0.8335182,0.71548074,0
0.45193762,0.8754209,0
0.26781386,0.7634908,0
0.22483483,0.7840889,0
0.82157534,0.7303864,0
0.504135,0.66875243,1
0.43278497,0.38654208,1
0.5513387,0.7122841,1
0.34635726,0.8617834,0
0.45418707,0.74700224,1
0.33596268,0.5365615,1
0.56049716,0.34173828,1
0.64663243,0.65723646,1
0.28890297,0.84631735,0
0.79501003,0.3929052,0
0.1436504,0.57865494,0
0.23641859,0.1757234,0
0.6565996,0.89348376,0
0.79135036,0.6777328,0
0.34904432,0.60116154,1
0.82932526,0.76201177,0
0.5881056,0.41769177,1
0.29190788,0.61920345,1
0.3718296,0.3153945,1
0.47898388,0.11789735,0
0.31068859,0.7852717,0
0.873405,0.72488785,0
0.6004444,0.8824112,0
0.4012371,0.7069819,1
0.472107,0.36271375,1
0.25239843,0.2456997,0
0.44455984,0.35124785,1
0.36087677,0.3782011,1
0.9049508,0.6841337,0
0.54988587,0.67824644,1
0.300884,0.5924176,1
0.686214,0.654677,1
0.28654096,0.7616876,0
0.5720058,0.34983286,1
0.5831416,0.6821734,1
0.6688305,0.43428254,1
0.714868,0.14628008,0
0.3558836,0.6710704,1
0.51301163,0.69817424,1
0.7340004,0.55276656,1
0.14463511,0.43726826,0
0.74071366,0.14263652,0
0.5556973,0.6586434,1
0.1954509,0.7713318,0
0.7701564,0.7789016,0
0.7667655,0.25228375,0
0.55363774,0.27756038,1
0.43956757,0.358321,1
0.8679823,0.2843188,0
0.5906557,0.30597132,1
0.5048659,0.3192055,1
0.10848707,0.38719362,0
0.75506717,0.53633463,1
0.3858685,0.2716136,1
0.17498693,0.71421236,0
0.4313358,0.43671936,1
0.76194966,0.4817412,1
0.32259506,0.46681985,1
0.75150526,0.24518019,0
0.5695117,0.3030052,1
0.30081055,0.4312238,1
0.9779853,0.50772226,0
0.5390697,0.8813965,0
0.6671375,0.47727734,1
0.4795176,0.3422881,1
0.56761926,0.6627546,1
0.4128475,0.6578877,1
0.34762365,0.5507593,1
0.3780164,0.21633086,0
0.77079487,0.26615268,0
0.6740374,0.22380842,0
0.2702782,0.7601879,0
0.18591297,0.3220268,0
0.541352,0.29873317,1
0.14034164,0.37782383,0
0.36223674,0.16351976,0
0.64289975,0.41928223,1
0.28380078,0.48970586,1
0.47422907,0.33242825,1
0.71763444,0.8774385,0
0.6207181,0.40039033,1
0.637882,0.60905766,1
0.63220876,0.8655628,0
0.5075966,0.16963778,0
0.23009422,0.70373464,0
0.15437438,0.2797367,0
0.63481736,0.11116344,0
0.22452378,0.22192806,0
0.21614137,0.30443797,0
0.50454116,0.69618475,1
0.42235717,0.8064931,0
0.6199204,0.18969463,0
0.59324795,0.6554866,1
0.41747135,0.32987356,1
0.79947025,0.60192543,0
0.86990756,0.33020166,0
0.47609928,0.9348634,0
0.43930167,0.68221885,1
0.42340946,0.12655117,0
0.434008,0.39501232,1
0.83634406,0.7180674,0
0.8521829,0.39780784,0
0.8652261,0.46357304,0
0.38213438,0.6560169,1
0.21246675,0.21946713,0
