Feature_1,Feature_2,Label
0.9054791,0.52926606,1
0.6085791,0.12721631,1
0.62450504,0.15035856,1
0.18090573,0.69286186,0
0.9215271,0.49474972,1
0.18430279,0.74917597,0
0.8855168,0.7085697,1
0.7740343,0.23135455,1
0.14720374,0.63205945,0
0.49015403,0.18194333,1
0.40251166,0.34897333,1
0.27338037,0.83457065,0
0.27924177,0.825306,0
0.88585633,0.5033451,1
0.8742285,0.44172564,1
0.37980917,0.33481863,1
0.35012057,0.5687372,1
0.14000916,0.60324466,0
0.6730823,0.17413408,1
0.81287616,0.2019644,1
0.065030456,0.40894964,0
0.43428355,0.8341751,0
0.29311767,0.7684058,0
0.90767443,0.43202117,1
0.35535845,0.51208377,1
0.6143135,0.5468775,0
0.8803155,0.472743,1
0.107217796,0.52558833,0
0.2821703,0.8345305,0
0.7823713,0.25624606,1
0.38768944,0.36835632,1
0.872105,0.5090762,1
0.15254702,0.662299,0
0.3525086,0.29089072,1
0.8709296,0.39825028,1
0.075087555,0.531613,0
0.3839622,0.42689058,1
0.86206126,0.42924955,1
0.5714675,0.2085643,1
0.35504338,0.4191462,1
0.4419287,0.28978425,1
0.8673009,0.35137266,1
0.3199618,0.829975,0
0.3595568,0.51833445,1
0.9054549,0.555192,1
0.61493015,0.12598503,1
0.58011824,0.18193871,1
0.3838157,0.57586354,1
0.74549603,0.27502644,1
0.08726932,0.42149264,0
0.31312874,0.36051282,1
0.3796996,0.57210165,1
0.8513315,0.3369285,1
0.6700219,0.17765994,1
0.89235926,0.55811197,1
0.3673058,0.46783426,1
0.79917026,0.34183002,1
0.15875836,0.6950104,0
0.39622194,0.74880195,0
0.39989612,0.81508744,0
0.40398407,0.46591106,1
0.70316875,0.16042113,1
0.5699055,0.6255742,0
0.37737688,0.79233766,0
0.45466557,0.24721076,1
0.8352095,0.44353512,1
0.48236734,0.7445904,0
0.8607777,0.42994073,1
0.12961079,0.41520113,0
0.87056047,0.41596848,1
0.50289667,0.101960525,1
0.6278183,0.5122585,0
0.51106757,0.74880975,0
0.53499174,0.20906045,1
0.07637238,0.5184158,0
0.4971715,0.8390643,0
0.38833666,0.40242043,1
0.6531527,0.11590208,1
0.4221018,0.27393317,1
0.094246596,0.70148987,0
0.20936733,0.8447974,0
0.6062025,0.10799579,1
0.5909233,0.5572991,0
0.38849702,0.3404589,1
0.5698564,0.5859409,0
0.087929,0.386026,0
0.5395831,0.63478166,0
0.87467617,0.37883133,1
0.31826746,0.7664576,0
0.19889602,0.7332793,0
0.3884856,0.28666255,1
0.3923744,0.2175822,1
0.381107,0.3883114,1
0.24487133,0.7534523,0
0.09119605,0.43859696,0
0.5706423,0.59840816,0
0.92235917,0.44787696,1
0.09458993,0.4062135,0
0.5115942,0.72924304,0
0.09745318,0.38661262,0
0.43500677,0.23674583,1
0.35250798,0.53673095,1
0.40078732,0.41925278,1
0.8594872,0.3781342,1
0.3854554,0.7975919,0
0.37172297,0.31600833,1
0.6105456,0.5326216,0
0.6570703,0.06308113,1
0.30931705,0.77792025,0
0.3933816,0.35895503,1
0.87957186,0.52695477,1
0.105431005,0.55948895,0
0.75480396,0.26840693,1
0.2071458,0.78986216,0
0.58672726,0.49940687,0
0.6987384,0.1614846,1
0.5335017,0.6741811,0
0.1685857,0.707431,0
0.084033884,0.4106114,0
0.5765448,0.5416105,0
0.4770597,0.23968278,1
0.8668737,0.38575387,1
0.8773486,0.41827908,1
0.29885423,0.7513523,0
0.41953242,0.48933172,1
0.5310401,0.6749894,0
0.44336662,0.7989849,0
0.70201665,0.17053393,1
0.7424929,0.17345016,1
0.52777714,0.17199561,1
0.09099337,0.54352903,0
0.54312694,0.6910797,0
0.5137294,0.33269367,1
0.3894976,0.29610908,1
0.10714146,0.69889873,0
0.5027149,0.25785115,1
0.40861234,0.80628884,0
0.5497633,0.7096477,0
0.2763814,0.7792415,0
0.47883672,0.21049,1
0.528123,0.7226379,0
0.3639765,0.31680438,1
